source,service_id,location_id,organization_name,organization_email,organization_url,organization_id,invalid_email,website_no_phone,bad_phone_ids,bad_phone_numbers,bad_extension_ids,bad_phone_extensions,has_unlinked_phone,has_unlinked_email,has_unlinked_url,has_raw_linebreak,email_duped_in_text,has_bad_hyperlink,has_unbalanced_anchor,has_unquoted_href,has_bad_close_anchor,anchor_missing_href,text,,
event,d3442655-4460-4a22-ba21-a31fc10a4d53,c055cf23-083e-47e9-b03c-b6cce5a8fd9c,Community Healthcare Network (CHN),,chnnyc.org/south-bronx-health-center,801278a5-93c2-4178-b6f5-6c2fec998138,FALSE,FALSE,e3471e25-f235-492e-9570-389c9f6e3d81,718.320.4466,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,• All ages  \n• Please call or walk in to make an appointment\n• Sliding fee scales are available to people without health insurance,,
event,28707a8d-ffe7-4285-b896-a5c807240b54,c086799e-8c3f-4fee-8f45-8f5812dba59e,MUNA Social Services (MSS),,https://www.munassinc.org/locations/queens-ny,2dc2e5bd-3606-4a9f-8e92-08a112680cde,FALSE,TRUE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Last Saturday of the month,,
event,c75292cd-ff60-44bf-b34b-9f9fd454a203,c0956288-d6db-4af5-a561-c3fbf5122da5,NEW Pride Agenda (NPA),,newprideagenda.org,f6f77056-ad75-4334-b55d-46add756221f,FALSE,FALSE,e5544019-4e57-49a2-b8b3-156e9fd2ee71,917.426.1242,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Fill out the form at <a href=""https://bit.ly/we-got-you-covered"" target=""_blank"" rel=""noopener noreferrer"">bit.ly/we-got-you-covered</a> to start.",,
event,e9a11341-f2d1-4520-869e-e0550b0f0cc7,c0956288-d6db-4af5-a561-c3fbf5122da5,NEW Pride Agenda (NPA),,newprideagenda.org,f6f77056-ad75-4334-b55d-46add756221f,FALSE,FALSE,e5544019-4e57-49a2-b8b3-156e9fd2ee71,917.426.1242,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Walk in to enroll.,,
event,dbd1d699-284f-4e79-8722-a0341bbed181,c0dd5712-af42-47a0-a88b-29bc7f62a282,CUNY New York City College of Technology,,,5e42b440-ab8e-456d-8b51-a2da03799791,FALSE,FALSE,30eed1c3-e584-4250-90a3-e9bb8941c125,718.552.1120,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Call during open hours to leave your information so they can contact NYCHA to verify your eligibility and put you on the waitlist. Most programs are available to NYCHA residents. No MetroCards or stipends are issued, but books and tools needed for training are provided.",,
event,c615a4b5-38a6-4a5b-9ff6-7a1378cb182c,c0f35a80-5950-4618-a733-5704f7d99872,Jewish Board of Family and Children’s Services,,jewishboard.org,fc390f1d-f0c3-45c2-89f9-8cfc1a5e1855,FALSE,FALSE,c1ac880a-c83f-4d10-840d-4cd26012c522,844.663.2255,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,They are remote on Saturdays. Most types of insurance are accepted. All ages are welcome. Call to make an appointment.,,
event,bce6bd1d-7a8b-4156-ae2b-a9bd5c3acecc,c133053e-2026-48a4-9466-83adcfd29500,Our Lady of Refuge Roman Catholic Church - Brooklyn,,olrbrooklyn.org/around-the-parish,90a8557c-46f8-4eec-94a7-ac2f75224c76,FALSE,FALSE,32a68ee5-819d-4878-8062-4cd2f8af71a2,(718) 434-2090,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,#NAME?,,
event,29d08e8e-8c96-4eca-9052-c580c9234c63,c17db0ff-e6c7-4f84-8b5f-6df0c917fe88,All Angels' Church,,allangelschurch.com/community-ministries/get-services,e522678c-1cda-4869-ad09-5764310927fd,FALSE,FALSE,64684413-b706-4948-b14d-8238ec308301,212.362.9300,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Showers are limited to the first 24 people; each gets ten minutes starting at 8 AM. It would be best if you arrived no later than 7:30 AM.,,
event,3dc9c0cd-75d6-4d86-8401-969e62103bfa,c17db0ff-e6c7-4f84-8b5f-6df0c917fe88,All Angels' Church,,allangelschurch.com/community-ministries/get-services,e522678c-1cda-4869-ad09-5764310927fd,FALSE,FALSE,64684413-b706-4948-b14d-8238ec308301,212.362.9300,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Line up by 7:30 AM to ensure space in the recreational area.,,
event,701940e5-caba-42b6-bdb0-7e4f9b94f7e4,c17db0ff-e6c7-4f84-8b5f-6df0c917fe88,All Angels' Church,,allangelschurch.com/community-ministries/get-services,e522678c-1cda-4869-ad09-5764310927fd,FALSE,FALSE,64684413-b706-4948-b14d-8238ec308301,212.362.9300,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"To join the Sunday community meal, you must enter the 5 PM worship service.",,
