location_id,service_id,phone_id,source,target,patch_status,edit_url,excel_link,payload,note
dbcb2040-6949-469d-9c44-0acaeab205a0,0000ab62-9170-4726-9daa-2c641029df7b,,service,service_update,patched,https://gogetta.nyc/team/location/dbcb2040-6949-469d-9c44-0acaeab205a0/services/0000ab62-9170-4726-9daa-2c641029df7b/description,"=HYPERLINK(""https://gogetta.nyc/team/location/dbcb2040-6949-469d-9c44-0acaeab205a0/services/0000ab62-9170-4726-9daa-2c641029df7b/description"")","{""description"": ""Submit an online request for an at-home HIV test <a href=\""https://starprogram.nyc/star-health-center/services/home-hiv-testaccuracy\"" target=\""_blank\"" rel=\""noopener noreferrer\"">starprogram.nyc/star-health-center/services/home-hiv-testaccuracy</a> of that test is less precise than a 4th -generation test done in labs that can reveal an infection starting at two weeks after the virus's entry into your system."", ""eventRelatedInfo"": {""event"": ""COVID19"", ""information"": ""Please call for an appointment at <a href=\""tel:3479091680\"">(347) 909-1680</a>.""}}",service 0000ab62-9170-4726-9daa-2c641029df7b description cleaned | service 0000ab62-9170-4726-9daa-2c641029df7b other-info cleaned
18ab0ef9-03a2-4ec9-9ca6-660dfd076354,00251f03-dac4-4ac3-8592-30e24b756c75,,service,service_update,patched,https://gogetta.nyc/team/location/18ab0ef9-03a2-4ec9-9ca6-660dfd076354/services/00251f03-dac4-4ac3-8592-30e24b756c75/other-info,"=HYPERLINK(""https://gogetta.nyc/team/location/18ab0ef9-03a2-4ec9-9ca6-660dfd076354/services/00251f03-dac4-4ac3-8592-30e24b756c75/other-info"")","{""eventRelatedInfo"": {""event"": ""COVID19"", ""information"": ""If you wish to get a bed here, ask your social worker to <a href=\""https://trinityplaceshelter.org/contact-us\"">complete a referral form</a>. Self-enrollment or walk-ins are not allowed; they usually accept people who age out (turn 21 years old) of the youth shelters across NYC.""}}",service 00251f03-dac4-4ac3-8592-30e24b756c75 other-info cleaned
058a39a5-c0d0-4ea0-b331-10b85fefe8d5,002e044c-f696-416c-8d8f-505f491bb193,,service,service_update,patched,https://gogetta.nyc/team/location/058a39a5-c0d0-4ea0-b331-10b85fefe8d5/services/002e044c-f696-416c-8d8f-505f491bb193/description,"=HYPERLINK(""https://gogetta.nyc/team/location/058a39a5-c0d0-4ea0-b331-10b85fefe8d5/services/002e044c-f696-416c-8d8f-505f491bb193/description"")","{""description"": ""11-week career course. Participants are paid a $15 hourly wage. Certifications include:\n\u2022 4-hr DOT Site Safety Flagger\n\u2022 2-hr Drug/Alcohol Awareness\n\u2022 8-hr Fall Prevention\n\u2022 OSHA 30 Construction, and more.""}",service 002e044c-f696-416c-8d8f-505f491bb193 description cleaned
b006d271-6738-42f7-a4f9-5407558cf565,007aea06-ba7d-4ffd-a664-2555c0cbc69d,,service,service_update,patched,https://gogetta.nyc/team/location/b006d271-6738-42f7-a4f9-5407558cf565/services/007aea06-ba7d-4ffd-a664-2555c0cbc69d/other-info,"=HYPERLINK(""https://gogetta.nyc/team/location/b006d271-6738-42f7-a4f9-5407558cf565/services/007aea06-ba7d-4ffd-a664-2555c0cbc69d/other-info"")","{""eventRelatedInfo"": {""event"": ""COVID19"", ""information"": ""Serving residents in all of Staten Island""}}",service 007aea06-ba7d-4ffd-a664-2555c0cbc69d other-info cleaned
272bf16c-1483-4157-9bbf-c642f34ab75b,018595b6-160d-4469-b1f1-9f1fa5562035,,service,service_update,patched,https://gogetta.nyc/team/location/272bf16c-1483-4157-9bbf-c642f34ab75b/services/018595b6-160d-4469-b1f1-9f1fa5562035/other-info,"=HYPERLINK(""https://gogetta.nyc/team/location/272bf16c-1483-4157-9bbf-c642f34ab75b/services/018595b6-160d-4469-b1f1-9f1fa5562035/other-info"")","{""eventRelatedInfo"": {""event"": ""COVID19"", ""information"": ""Serving ZIP Codes: 11201, 11205, 11213, 11215, 11216, 11217, 11225, 11231, 11233, 11238""}}",service 018595b6-160d-4469-b1f1-9f1fa5562035 other-info cleaned
d58bf45e-75af-4980-ae50-35aae247bebe,01b1477c-af97-4708-ba3b-a4afc5e616f1,,service,service_update,patched,https://gogetta.nyc/team/location/d58bf45e-75af-4980-ae50-35aae247bebe/services/01b1477c-af97-4708-ba3b-a4afc5e616f1/description,"=HYPERLINK(""https://gogetta.nyc/team/location/d58bf45e-75af-4980-ae50-35aae247bebe/services/01b1477c-af97-4708-ba3b-a4afc5e616f1/description"")","{""description"": ""Services include:\n\u2022 Detoxification and Rehabilitation Referrals\n\u2022 Educational and Vocational Referrals\n\u2022 Individual Counseling\n\u2022 MOUD\n\u2022 Medication Evaluation\n\u2022 Mental Health Referrals"", ""eventRelatedInfo"": {""event"": ""COVID19"", ""information"": ""\u2022 Walk-ins are accepted\n\u2022 Call for more information\n\u2022 LMA specializes in Medications for Opioid Use Disorder (MOUD) using Methadone and Suboxone""}}",service 01b1477c-af97-4708-ba3b-a4afc5e616f1 description cleaned | service 01b1477c-af97-4708-ba3b-a4afc5e616f1 other-info cleaned
e2627807-d5cb-48e0-931e-f495ac84b239,01c386c3-dddc-4a66-aa4e-3cb88bd72862,,service,service_update,patched,https://gogetta.nyc/team/location/e2627807-d5cb-48e0-931e-f495ac84b239/services/01c386c3-dddc-4a66-aa4e-3cb88bd72862/other-info,"=HYPERLINK(""https://gogetta.nyc/team/location/e2627807-d5cb-48e0-931e-f495ac84b239/services/01c386c3-dddc-4a66-aa4e-3cb88bd72862/other-info"")","{""eventRelatedInfo"": {""event"": ""COVID19"", ""information"": ""\u2022 Age 18+\n\u2022 Must meet Mental Health requirements.""}}",service 01c386c3-dddc-4a66-aa4e-3cb88bd72862 other-info cleaned
a86f9762-67d9-4fdc-8dba-6c2d9a1e76b5,01d57b99-79cf-4eea-96ee-a44351aeafab,,service,service_update,patched,https://gogetta.nyc/team/location/a86f9762-67d9-4fdc-8dba-6c2d9a1e76b5/services/01d57b99-79cf-4eea-96ee-a44351aeafab/other-info,"=HYPERLINK(""https://gogetta.nyc/team/location/a86f9762-67d9-4fdc-8dba-6c2d9a1e76b5/services/01d57b99-79cf-4eea-96ee-a44351aeafab/other-info"")","{""eventRelatedInfo"": {""event"": ""COVID19"", ""information"": ""\u2022 Lockers remain open for 30 minutes after scheduled closure.\n\u2022 For recreation activities at the facility, information, and accessible swimming pools, please visit this <a href=\""https://gonyuathletics.com/sports/2021/2/25/nyu-athletics-facilities-hours-access.aspx\"" target=\""_blank\"" rel=\""noopener noreferrer\"">gonyuathletics.com/sports/2021/2/25/nyu-athletics-facilities-hours-access.aspx</a>\n\u2022 Students have to be enrolled in the current semester to use the gym.\n\u2022 Bring your lock and dress appropriately""}}",service 01d57b99-79cf-4eea-96ee-a44351aeafab other-info cleaned
2e302015-6909-40de-85d4-9a84dc105d8c,01fc6b2f-b9e6-4a7b-bb25-369569177263,,service,service_update,patched,https://gogetta.nyc/team/location/2e302015-6909-40de-85d4-9a84dc105d8c/services/01fc6b2f-b9e6-4a7b-bb25-369569177263/other-info,"=HYPERLINK(""https://gogetta.nyc/team/location/2e302015-6909-40de-85d4-9a84dc105d8c/services/01fc6b2f-b9e6-4a7b-bb25-369569177263/other-info"")","{""eventRelatedInfo"": {""event"": ""COVID19"", ""information"": ""For more information about this service, email <a href=\""mailto:director@meatloafkitchen.org\"">director@meatloafkitchen.org</a>.""}}",service 01fc6b2f-b9e6-4a7b-bb25-369569177263 other-info cleaned
e19cd2bd-6804-4964-ab90-0b1ba6754260,0226c222-4f0b-4506-890e-dfb2b5283618,,service,service_update,patched,https://gogetta.nyc/team/location/e19cd2bd-6804-4964-ab90-0b1ba6754260/services/0226c222-4f0b-4506-890e-dfb2b5283618/description,"=HYPERLINK(""https://gogetta.nyc/team/location/e19cd2bd-6804-4964-ab90-0b1ba6754260/services/0226c222-4f0b-4506-890e-dfb2b5283618/description"")","{""description"": ""Services include:\n\u2022 Adult Primary Care\n\u2022 Behavioral Health\n\u2022 Cardiology\n\u2022 Counseling\n\u2022 Dental\n\u2022 HIV Testing\n\u2022 Infectious Diseases\n\u2022 Medication Assisted Treatment\n\u2022 OB/GYN\n\u2022 Pediatrics\n\u2022 Podiatry\n\u2022 WIC\n\u2022 340B Prescription Drug Program"", ""eventRelatedInfo"": {""event"": ""COVID19"", ""information"": ""Open every second Saturday of the month for primary care only for current patients""}}",service 0226c222-4f0b-4506-890e-dfb2b5283618 description cleaned | service 0226c222-4f0b-4506-890e-dfb2b5283618 other-info cleaned
