source,service_id,location_id,organization_name,organization_email,organization_url,organization_id,invalid_email,website_no_phone,bad_phone_ids,bad_phone_numbers,bad_extension_ids,bad_phone_extensions,has_unlinked_phone,has_unlinked_email,has_unlinked_url,has_raw_linebreak,email_duped_in_text,text
event,257de1d0-e7e8-4459-80ea-ac013c171639,0004f34b-f9a7-4a05-a6f4-b5c2387579df,St. John the Baptist Church,,stjohnsbrooklyn.org/parish-thrift-shop,b53bb30e-9cda-40e3-8c22-44005f4fa9e0,false,false,f7e775c8-94cb-4ff0-96f2-86a3f15e045c,718-455-6864,,,false,false,false,true,false,"� Open to everyone. Come as often as weekly.\n<br>&emsp;� Everyone has to sign in.\n<br>&emsp;� Food served on a first-come, first-served basis.\n<br>&emsp;� Food distributed behind the church."
event,108e49f2-bad4-42f4-8c55-db8a3f193ee6,0018e7ae-f5a4-420c-93c8-f2fe8daa862a,Sanctuary for Families,,sanctuaryforfamilies.org/get-help,4dba0c6b-5c9c-45e9-81cb-dd84b54f8146,false,false,f7254db9-3dcd-466b-8bc0-e8f5c617d7ba,212.349.6009,,,false,false,false,false,false,"� Other languages supported\n� <a href=""tel:2123496009,1367"">(212) 349-6009 x1367</a>, <a href=""tel:2122384906"">(212) 238-4906</a> or text <a href=""tel:9293359922"">(929) 335-9922</a>, <a href=""tel:2123496009,2"">(212) 349-6009 x2</a>"
event,477f65f6-dd53-4e8f-b036-d08c2bd33e36,0018e7ae-f5a4-420c-93c8-f2fe8daa862a,Sanctuary for Families,,sanctuaryforfamilies.org/get-help,4dba0c6b-5c9c-45e9-81cb-dd84b54f8146,false,false,f7254db9-3dcd-466b-8bc0-e8f5c617d7ba,212.349.6009,,,false,false,false,false,false,"� Other languages supported\n� <a href=""tel:2123496009,0"">(212) 349-6009 x0</a>"
event,80cf3178-ced7-4514-8ed2-6a4166df9f03,0018e7ae-f5a4-420c-93c8-f2fe8daa862a,Sanctuary for Families,,sanctuaryforfamilies.org/get-help,4dba0c6b-5c9c-45e9-81cb-dd84b54f8146,false,false,f7254db9-3dcd-466b-8bc0-e8f5c617d7ba,212.349.6009,,,false,false,false,false,false,"� Call <a href=""tel:6466920300"">(646) 692-0300</a>, <a href=""sms:6466920300"">text</a>, (you can also text <a href=""sms:9293359922"">(929) 335-9922</a>) or chat at <a href=""https://sanctuaryforfamilies.org/legal-chat/"" target=""_blank"" rel=""noopener noreferrer"">sanctuaryforfamilies.org/legal-chat</a>"
event,fd577758-e6ae-46b1-8abf-6712b699fbcd,0018e7ae-f5a4-420c-93c8-f2fe8daa862a,Sanctuary for Families,,sanctuaryforfamilies.org/get-help,4dba0c6b-5c9c-45e9-81cb-dd84b54f8146,false,false,f7254db9-3dcd-466b-8bc0-e8f5c617d7ba,212.349.6009,,,false,false,false,false,false,"� Other languages supported\n� Call <a href=""tel:9293359922"">(929) 335-9922</a> for safety planning, shelter, or counseling or chat at <a href=""https://sanctuaryforfamilies.org/clinical-chat/"" target=""_blank"" rel=""noopener noreferrer"">sanctuaryforfamilies.org/clinical-chat</a>"
event,,00202fe2-d1d7-4745-9046-c4c8571cf7bd,The Food Pantry at Columbia,,thefoodpantry.studentgroups.columbia.edu/content/food-pantry-columbia-barnard-hall,486f21ac-b7b5-4619-a0f9-d0ffe8d63c65,false,true,,,,,false,false,true,false,false,Closed until further notice. Check https://thefoodpantry.studentgroups.columbia.edu/ for other locations
event,a9f4928f-20e8-4c2c-8e53-a86a25aff3a4,006154e0-f380-4ae3-851e-22ffd4d0bbbd,The Brooklyn Hospital (TBH) Center,,https://www.tbh.org/locations/path-center,b172c9d8-7ce4-4b15-9a70-c4e75d4339e0,false,false,d4b2756c-3971-4eeb-82ba-f45b8b87bb04,718.250.6559,,,false,false,false,false,false,"� Call to make an appointment\n� If you are a Medicaid or Medicare recipient, see if you qualify for a Round-Trip MetroCard upon your visit\n� MetroPlus, United HealthCare Community Plan, and ElderPlan are not accepted"
event,4b45b8c5-265f-440a-9cd9-7b0c2e67bcc3,01456731-16a1-4768-9275-ba7054b787e5,FemGYN,,https://femgynwellness.com/,8cbf7ffc-c0f7-4e6e-b3af-f307fcb5e0f2,false,false,4af8bacf-de85-4697-bccb-7e4fa2b3217d,718.269.7274,,,false,false,false,true,false,"� If you are a Medicaid or Medicare recipient, see if you qualify for a Round-Trip MetroCard upon your visit. � No fee scale is available to uninsured individuals\n"
event,3c4f9665-f8c5-4b85-8e14-00214887316a,018f8703-1e3c-4780-9f77-36d9b43ed39a,Legal Services NYC,,legalservicesnyc.org,1597017c-aaf1-41fb-a007-3e5f70d97e3f,false,false,df07777e-90ee-438e-ad56-2dd40ad51b65,646.442.3100,,,false,false,false,false,false,"� For Brooklyn, call <a href=""tel:7182375500"">(718) 237-5500</a>. For the Bronx, call <a href=""tel:7189283700"">(718) 928-3700</a>. For Manhattan, call <a href=""tel:6464423100"">(646) 442-3100</a>. For Queens, call <a href=""tel:3475922200"">(347) 592-2200</a>. For Staten Island, call <a href=""tel:7182336480"">(718) 233-6480</a>.\n� Call the access line at <a href=""tel:9176614500"">(917) 661-4500</a> Monday through Friday from 9:30 AM to 4:00 PM to become a client. Every case will require income and asset screening and will have different income brackets. All services are free and tailored to low-income New York City residents who are US citizens, Green Card holders, or other non-citizens if their case involves a crime against them. No walk-ins. An ID Card is needed to access the building."
event,b2f13418-5541-4945-b8d0-b565edd13ba1,0192dbee-df11-494a-b460-4bf56d12e0e1,Community Service Society (CSS),,cssny.org,460af084-8189-4f6e-b683-09c387d5eb18,false,false,853a5f25-31ae-45f7-ae11-e1f90857455a,212.254.8900,,,false,false,false,false,false,Call for more information.
