uuid,status,note,source,timestamp
4d60d099-8b57-40bc-8686-73d36de751bb,no_change,,missingstreetview,2026-01-02 00:16:07
cc39d150-e48d-47b2-a316-614847e9c8ad,no_change,,missingstreetview,2026-01-02 00:16:08
b41ce36f-81ca-4710-aec7-da6df8222251,dry_run,"address '269 W 35th St, 7th, 10th, and 11th Floors' -> '269 W 35th St, 7th, 10th, And 11th Floors'",missingstreetview,2026-01-02 00:16:09
e68347fc-c7de-43a1-ad1c-378ab1d96f85,no_change,,missingstreetview,2026-01-02 00:16:10
efa2eeba-bffe-4e51-afc4-8674ca5b2e1d,dry_run,city 'BRONX' -> 'Bronx' | address '286 East 156th Street' -> '286 E 156th St',missingstreetview,2026-01-02 00:16:11
9883fd96-487a-4ffe-bc57-85728ff4a579,no_change,,missingstreetview,2026-01-02 00:16:12
e4ada515-6679-4059-b41b-6c1ba9869204,no_change,,missingstreetview,2026-01-02 00:16:12
e79329ab-d7d4-4145-96ee-7c9115c0e7d1,no_change,,missingstreetview,2026-01-02 00:16:13
c5f91b44-3cca-4967-a1b5-7ba8fd7257b2,dry_run,address '2705 Campus Road' -> '2705 Campus Rd',missingstreetview,2026-01-02 00:16:14
7e29ee8c-d108-4a98-93e5-57c1b691f09d,dry_run,city 'STATEN ISLAND' -> 'Staten Island' | address '84 Fulton Street' -> '84 Fulton St',missingstreetview,2026-01-02 00:16:14
4d60d099-8b57-40bc-8686-73d36de751bb,no_change,,missingstreetview,2026-01-02 00:29:59
cc39d150-e48d-47b2-a316-614847e9c8ad,no_change,,missingstreetview,2026-01-02 00:30:00
b41ce36f-81ca-4710-aec7-da6df8222251,dry_run,"address '269 W 35th St, 7th, 10th, and 11th Floors' -> '269 W 35th St, 7th, 10th, And 11th Floors'",missingstreetview,2026-01-02 00:30:01
e68347fc-c7de-43a1-ad1c-378ab1d96f85,no_change,,missingstreetview,2026-01-02 00:30:01
efa2eeba-bffe-4e51-afc4-8674ca5b2e1d,dry_run,city 'BRONX' -> 'Bronx' | address '286 East 156th Street' -> '286 E 156th St',missingstreetview,2026-01-02 00:30:02
9883fd96-487a-4ffe-bc57-85728ff4a579,no_change,,missingstreetview,2026-01-02 00:30:03
e4ada515-6679-4059-b41b-6c1ba9869204,no_change,,missingstreetview,2026-01-02 00:30:03
e79329ab-d7d4-4145-96ee-7c9115c0e7d1,no_change,,missingstreetview,2026-01-02 00:30:04
c5f91b44-3cca-4967-a1b5-7ba8fd7257b2,dry_run,address '2705 Campus Road' -> '2705 Campus Rd',missingstreetview,2026-01-02 00:30:05
4d60d099-8b57-40bc-8686-73d36de751bb,no_change,,missingstreetview,2026-01-02 00:36:02
cc39d150-e48d-47b2-a316-614847e9c8ad,no_change,,missingstreetview,2026-01-02 00:36:03
b41ce36f-81ca-4710-aec7-da6df8222251,dry_run,"address '269 W 35th St, 7th, 10th, and 11th Floors' -> '269 W 35th St, 7th, 10th, And 11th Floors'",missingstreetview,2026-01-02 00:36:04
e68347fc-c7de-43a1-ad1c-378ab1d96f85,no_change,,missingstreetview,2026-01-02 00:36:05
efa2eeba-bffe-4e51-afc4-8674ca5b2e1d,dry_run,city 'BRONX' -> 'Bronx' | address '286 East 156th Street' -> '286 E 156th St',missingstreetview,2026-01-02 00:36:06
9883fd96-487a-4ffe-bc57-85728ff4a579,no_change,,missingstreetview,2026-01-02 00:36:07
e4ada515-6679-4059-b41b-6c1ba9869204,no_change,,missingstreetview,2026-01-02 00:36:08
4d60d099-8b57-40bc-8686-73d36de751bb,no_change,,missingstreetview,2026-01-02 00:40:18
cc39d150-e48d-47b2-a316-614847e9c8ad,no_change,,missingstreetview,2026-01-02 00:40:19
b41ce36f-81ca-4710-aec7-da6df8222251,dry_run,"address '269 W 35th St, 7th, 10th, and 11th Floors' -> '269 W 35th St, 7th, 10th, And 11th Floors'",missingstreetview,2026-01-02 00:40:19
e68347fc-c7de-43a1-ad1c-378ab1d96f85,no_change,,missingstreetview,2026-01-02 00:40:20
efa2eeba-bffe-4e51-afc4-8674ca5b2e1d,dry_run,city 'BRONX' -> 'Bronx' | address '286 East 156th Street' -> '286 E 156th St',missingstreetview,2026-01-02 00:40:21
4d60d099-8b57-40bc-8686-73d36de751bb,no_change,,missingstreetview,2026-01-02 00:44:30
cc39d150-e48d-47b2-a316-614847e9c8ad,no_change,,missingstreetview,2026-01-02 00:44:30
b41ce36f-81ca-4710-aec7-da6df8222251,dry_run,"address '269 W 35th St, 7th, 10th, and 11th Floors' -> '269 W 35th St, 7th, 10th, And 11th Floors'",missingstreetview,2026-01-02 00:44:31
4d60d099-8b57-40bc-8686-73d36de751bb,error,"GET https://w6pkliozjh.execute-api.us-east-1.amazonaws.com/prod/locations/4d60d099-8b57-40bc-8686-73d36de751bb -> 500 {""message"": ""Internal server error""}",missingstreetview,2026-01-02 02:45:51
4d60d099-8b57-40bc-8686-73d36de751bb,no_change,,missingstreetview,2026-01-02 02:52:25
cc39d150-e48d-47b2-a316-614847e9c8ad,no_change,,missingstreetview,2026-01-02 02:52:28
b41ce36f-81ca-4710-aec7-da6df8222251,dry_run,"address '269 W 35th St, 7th, 10th, and 11th Floors' -> '269 W 35th St, 7th, 10th, And 11th Floors'",missingstreetview,2026-01-02 02:52:31
e68347fc-c7de-43a1-ad1c-378ab1d96f85,no_change,,missingstreetview,2026-01-02 02:52:34
efa2eeba-bffe-4e51-afc4-8674ca5b2e1d,dry_run,city 'BRONX' -> 'Bronx' | address '286 East 156th Street' -> '286 E 156th St',missingstreetview,2026-01-02 02:52:37
e79329ab-d7d4-4145-96ee-7c9115c0e7d1,no_change,,missingstreetview,2026-01-02 02:52:40
c5f91b44-3cca-4967-a1b5-7ba8fd7257b2,dry_run,address '2705 Campus Road' -> '2705 Campus Rd',missingstreetview,2026-01-02 02:52:42
7e29ee8c-d108-4a98-93e5-57c1b691f09d,dry_run,city 'STATEN ISLAND' -> 'Staten Island' | address '84 Fulton Street' -> '84 Fulton St',missingstreetview,2026-01-02 02:52:45
99b7f4ee-03ad-49c3-940b-c7bdf9ac13d7,no_change,,missingstreetview,2026-01-02 02:52:47
a83f6d26-2e8c-4cbb-8b13-5f8800e3116d,no_change,,missingstreetview,2026-01-02 02:52:50
cc39d150-e48d-47b2-a316-614847e9c8ad,auth_error,"streetview_url set (default) | PATCH https://w6pkliozjh.execute-api.us-east-1.amazonaws.com/prod/locations/cc39d150-e48d-47b2-a316-614847e9c8ad -> 401 {""message"":""The incoming token has expired""}",missingstreetview,2026-01-02 04:50:01
cc39d150-e48d-47b2-a316-614847e9c8ad,skipped_resume,,missingstreetview,2026-01-02 05:04:25
b41ce36f-81ca-4710-aec7-da6df8222251,skipped_resume,,missingstreetview,2026-01-02 05:04:25
e68347fc-c7de-43a1-ad1c-378ab1d96f85,skipped_resume,,missingstreetview,2026-01-02 05:04:25
