location_id,service_id,phone_id,source,target,patch_status,payload,note
0004f34b-f9a7-4a05-a6f4-b5c2387579df,257de1d0-e7e8-4459-80ea-ac013c171639,,service,service_update,dry_run,"{""eventRelatedInfo"": {""event"": ""COVID19"", ""information"": ""\u2022 Open to everyone. Come as often as weekly.\n\u2022 Everyone has to sign in.\n\u2022 Food served on a first-come, first-served basis.\n\u2022 Food distributed behind the church.""}}",service 257de1d0-e7e8-4459-80ea-ac013c171639 other-info cleaned
0018e7ae-f5a4-420c-93c8-f2fe8daa862a,fd577758-e6ae-46b1-8abf-6712b699fbcd,,service,service_update,dry_run,"{""description"": ""Any NYC resident can seek shelter here if they're fleeing domestic violence, but if they have a pet, they need to be accompanied by a large family (4 people maximum) because then they will occupy the whole apartment and not share it with others. The youngest child in the family must be 5-6 years old. You can stay up to 6 months in this shelter and receive a 3-month extension.\n\u2022 Transitional housing is offered through <a href=\""https://www.nyc.gov/site/dhs/index.page\"" target=\""_blank\"" rel=\""noopener noreferrer\"">DHS</a>, where individuals stay overnight every night (you may leave at night if you have to go to work); no drugs or visitors are allowed.""}",service fd577758-e6ae-46b1-8abf-6712b699fbcd description cleaned
01456731-16a1-4768-9275-ba7054b787e5,4b45b8c5-265f-440a-9cd9-7b0c2e67bcc3,,service,service_update,dry_run,"{""eventRelatedInfo"": {""event"": ""COVID19"", ""information"": ""\u2022 If you are a Medicaid or Medicare recipient, see if you qualify for a Round-Trip MetroCard upon your visit.\n\u2022 No fee scale is available to uninsured individuals""}}",service 4b45b8c5-265f-440a-9cd9-7b0c2e67bcc3 other-info cleaned
0192dbee-df11-494a-b460-4bf56d12e0e1,b2f13418-5541-4945-b8d0-b565edd13ba1,,service,service_update,dry_run,"{""eventRelatedInfo"": {""event"": ""COVID19"", ""information"": ""\u2022 Call for more information.""}}",service b2f13418-5541-4945-b8d0-b565edd13ba1 other-info cleaned
019d40ce-8d53-4e6e-b9ae-3be2865e418a,73b20b6c-862e-429c-bac2-35f111bb2866,,service,service_update,dry_run,"{""eventRelatedInfo"": {""event"": ""COVID19"", ""information"": ""\u2022 Monthly pantry appointments are required.""}}",service 73b20b6c-862e-429c-bac2-35f111bb2866 other-info cleaned
019d40ce-8d53-4e6e-b9ae-3be2865e418a,8711ff33-c170-4e53-b072-82c1ef4c5de1,,service,service_update,dry_run,"{""eventRelatedInfo"": {""event"": ""COVID19"", ""information"": ""\u2022 Please <a href=\""tel:7183217929\"">call</a> or walk in to register. Services are available to NYC residents only.""}}",service 8711ff33-c170-4e53-b072-82c1ef4c5de1 other-info cleaned
01c41e86-3392-4513-85db-791b03a16bfe,82bf3515-f264-4860-a7ee-df1d53b3f6a1,,service,service_update,dry_run,"{""description"": ""The shelter is assigned according to how a person presents. If your gender expression does not match your appearance, a decision can be made on a case-by-case basis."", ""eventRelatedInfo"": {""event"": ""COVID19"", ""information"": ""\u2022 Curfew begins at 3:30 PM, and you cannot leave afterward. Everyone must leave after breakfast but can return during the day center hours, Mon- Fri, 10 AM to 2 PM. The maximum stay is seven days, after which you can complete a new intake. The shower is available immediately after curfew or before dinner.""}}",service 82bf3515-f264-4860-a7ee-df1d53b3f6a1 description cleaned | service 82bf3515-f264-4860-a7ee-df1d53b3f6a1 other-info cleaned
01d4f89a-36c4-4b65-a873-063be6828835,5a79c78c-87ea-4a77-bb99-019f2f5a7e8c,,service,service_update,dry_run,"{""eventRelatedInfo"": {""event"": ""COVID19"", ""information"": ""\u2022 Please visit <a href=\""https://americaworks.com/jobseekers/\"">americaworks.com/jobseekers</a> for more information. To qualify, you have to live in Brownsville NYCHA developments or in zip code 11212. Feel free to call  <a href=\""tel:9178014668\"">(917) 801-4668</a> or <a href=\""tel:2125995627\"">(212) 599-5627</a> to make an appointment (locations in other boroughs might be available) or walk in, make sure to call Brownsville Partnership to verify if America Works staff are on site.""}}",service 5a79c78c-87ea-4a77-bb99-019f2f5a7e8c other-info cleaned
01d4f89a-36c4-4b65-a873-063be6828835,deea17f2-9b71-49b6-9fb2-309a9d003335,,service,service_update,dry_run,"{""eventRelatedInfo"": {""event"": ""COVID19"", ""information"": ""\u2022 Please call closer to the tax season. For more Grow Brooklyn services visit them at <a href=\""https://growbrooklyn.org/\"">growbrooklyn.org</a>. Please call them for financial counseling at <a href=\""tel:7184188232\"">(718) 418-8232</a>, for tax preparation for low-income New Yorkers at <a href=\""tel:3476825606\"">(347) 682-5606</a> or email <a href=\""mailto:freetaxes@growbrooklyn.org\"">freetaxes@growbrooklyn.org</a>. They also have online tax prep and tax documents drop off locations across Brooklyn. Qualified individuals should be residents of Brooklyn, file as a single individual, and earn up to 50K a year without dependents or up to 72K with a dependent.""}}",service deea17f2-9b71-49b6-9fb2-309a9d003335 other-info cleaned
01f7fc06-a48d-4be5-85fe-282e38ba1324,f53e3f7d-f387-49a3-a0d9-7662ab1014af,,service,service_update,dry_run,"{""eventRelatedInfo"": {""event"": ""COVID19"", ""information"": ""\u2022 Traditional hours as listed, but very limited resources now. Serving people sporadically when able.""}}",service f53e3f7d-f387-49a3-a0d9-7662ab1014af other-info cleaned
0208f380-20d6-461e-9f0f-01ea7adfb9bd,a2c04368-c466-4a18-a895-96ced3294d76,,service,service_update,dry_run,"{""description"": ""Services include:\n\u2022 Anger Management\n\u2022 Domestic Violence Program\n\u2022 DWI/DUI Assessment\n\u2022 Family, Group, and Individual Counseling\n\u2022 Medication-Assisted Treatment\n\u2022 NYC Substance Abuse Rehabilitation and Recovery\n\u2022 Parenting Group\n\u2022 Relapse Prevention\n\u2022 Specific Criminal Justice Track"", ""eventRelatedInfo"": {""event"": ""COVID19"", ""information"": ""\u2022 Walk in 10:00 AM - 7:00 PM with health insurance and ID. Co-pays are non-negotiable. Uninsured clients pay $200 for the first two appointments. Underage patients require consent from a legal guardian to receive treatment. If you are a Medicaid or Medicare recipient, see if you qualify for a Round-Trip MetroCard upon your visit.""}}",service a2c04368-c466-4a18-a895-96ced3294d76 description cleaned | service a2c04368-c466-4a18-a895-96ced3294d76 other-info cleaned
029514a5-579f-4ec1-b16c-85574306ed64,a4e1b03d-4837-4bfb-b6db-71833111d680,,service,service_update,dry_run,"{""eventRelatedInfo"": {""event"": ""COVID19"", ""information"": ""\u2022 See the calendar online and call them if you have any questions. <a href=\""https://learn.sunyattain.org/local/user/contact.php?s=ARM\"" target=\""_blank\"" rel=\""noopener noreferrer\"">Enroll here</a>.""}}",service a4e1b03d-4837-4bfb-b6db-71833111d680 other-info cleaned
02ac8152-746a-4ce0-aa54-d8d0c706cf9f,8b144bce-c6ca-4408-8d2a-6038595fb155,,service,service_update,dry_run,"{""eventRelatedInfo"": {""event"": ""COVID19"", ""information"": ""\u2022 To schedule a tour, email <a href=\""mailto:randykillings@rainbowheights.org\"">randykillings@rainbowheights.org</a> or call them at <a href=\""tel:3477667851\"">(347) 766-7851</a>.""}}",service 8b144bce-c6ca-4408-8d2a-6038595fb155 other-info cleaned
02ac8152-746a-4ce0-aa54-d8d0c706cf9f,962a5c73-54e9-4652-b7fc-011658f8a3d6,,service,service_update,dry_run,"{""eventRelatedInfo"": {""event"": ""COVID19"", ""information"": ""\u2022 Heights Hill Mental Health Services by New York State Office of Mental Health. They do not accept uninsured people and private versions of Aetna, Cigna, or 1199. Psychiatry and psychology are offered. If you are a Medicaid or Medicare recipient, see if you qualify for a Round-Trip MetroCard upon your visit.\n\u2022 Please get physical and bloodwork paperwork and call and ask for Sheena for intake at <a href=\""tel:7188751420?\"">(718) 875-1420?</a>. Intake is done in person. If you live far away, they will refer you to another DOMH location across NYC.""}}",service 962a5c73-54e9-4652-b7fc-011658f8a3d6 other-info cleaned
02ac8152-746a-4ce0-aa54-d8d0c706cf9f,ba36c6cf-ac08-43a9-b288-329547f89b66,,service,service_update,dry_run,"{""eventRelatedInfo"": {""event"": ""COVID19"", ""information"": ""\u2022 To find out about their calendar of events go to their website or call, phone services are available as well.""}}",service ba36c6cf-ac08-43a9-b288-329547f89b66 other-info cleaned
02ac8152-746a-4ce0-aa54-d8d0c706cf9f,f74d43fa-6983-44e0-9d1f-0b1c546438cb,,service,service_update,dry_run,"{""eventRelatedInfo"": {""event"": ""COVID19"", ""information"": ""\u2022 Ask your therapist to fax your psychosocial evaluation to <a href=\""tel:7182858610\"">(718) 285-8610</a>. If you are not open about your sexuality to your psychiatrist or therapist, contact Rainbow Heights for a referral. You would need a budget letter from HRA or HASA or an award letter from SSI or SSD. If you are ineligible for those benefits due to immigration status, an exception can be made.""}}",service f74d43fa-6983-44e0-9d1f-0b1c546438cb other-info cleaned
02c16d40-4c3f-46aa-a87d-6ab95bffab5e,04458cc5-bd09-4919-8681-dc24e2759ac5,,service,service_update,dry_run,"{""description"": ""SNAP, Medicaid, and Housing application assistance and referrals."", ""eventRelatedInfo"": {""event"": ""COVID19"", ""information"": ""\u2022 Feel free to walk in or call <a href=\""tel:3476181162\"">(347) 618-1162</a> during the open hours to start the process. To qualify, you have to be a low-income Bronx resident or family. Additional immigration status requirements apply to certain government assistance programs.""}}",service 04458cc5-bd09-4919-8681-dc24e2759ac5 description cleaned | service 04458cc5-bd09-4919-8681-dc24e2759ac5 other-info cleaned
02c16d40-4c3f-46aa-a87d-6ab95bffab5e,183f69a1-7203-412d-adab-8b476e9883c0,,service,service_update,dry_run,"{""eventRelatedInfo"": {""event"": ""COVID19"", ""information"": ""\u2022 Any ID required for registration\n\u2022 Bring bags for groceries\n\u2022 Open to all Bronx residents\n\u2022 Location may be at <a href=\""https://www.google.com/maps/search/?api=1&query=2430+Jerome+Ave,+Bronx,+NY+10468\"">2430 Jerome Ave, Bronx, NY 10468</a>.""}}",service 183f69a1-7203-412d-adab-8b476e9883c0 other-info cleaned
02c7f6a7-0916-47b2-a17d-d1dd604d6eb8,172c1333-94e0-47d3-a8fa-10cfbd5ce1f7,,service,service_update,dry_run,"{""eventRelatedInfo"": {""event"": ""COVID19"", ""information"": ""\u2022 Call to enroll.""}}",service 172c1333-94e0-47d3-a8fa-10cfbd5ce1f7 other-info cleaned
